Interaction_ID,Date,Date_f,Hour,Agent_ID,Team,Product_Line,Call_Type,Handle_Time_Seconds,Hold_Time_Seconds,Call_Outcome,CSAT_Score,First_Call_Resolution,Handle_Time_Minutes,Day_of_Week,Week,Month,Expected AHT,,,,,,,,
1,45964,"Monday, November 3, 2025",12,E84687581,Team_Alpha,Auto,General_Inquiry,120,30,Resolved,77,1,2.00,Monday,45,November,Exceeding Expectations,,,,,,,,
2,45964,"Monday, November 3, 2025",14,E84687581,Team_Alpha,Auto,Promise_to_Pay,226,34,Payment_Collected,74,1,3.77,Monday,45,November,Exceeding Expectations,,,,,,,,
3,45964,"Monday, November 3, 2025",14,E84687581,Team_Alpha,Card,Dispute,289,111,Escalated,96,0,4.82,Monday,45,November,Meeting Expectations,,,,,,,,
4,45964,"Monday, November 3, 2025",13,E84687581,Team_Alpha,Card,Dispute,309,21,Resolved,75,0,5.15,Monday,45,November,Meeting Expectations,,,,,,,,
5,45964,"Monday, November 3, 2025",14,E84687581,Team_Alpha,Card,Hardship,410,6,Escalated,37,1,6.83,Monday,45,November,Not Meeting Expectations,,,,,,,,
6,45964,"Monday, November 3, 2025",9,E84687581,Team_Alpha,Card,Dispute,349,22,Resolved,87,1,5.82,Monday,45,November,Not Meeting Expectations,,,,,,,,
7,45964,"Monday, November 3, 2025",13,E84687581,Team_Alpha,Card,Dispute,311,21,Resolved,66,1,5.18,Monday,45,November,Meeting Expectations,,,,,,,,
8,45964,"Monday, November 3, 2025",14,E84687581,Team_Alpha,Card,Hardship,337,59,Resolved,69,1,5.62,Monday,45,November,Meeting Expectations,,,,,,,,
9,45964,"Monday, November 3, 2025",14,E84687581,Team_Alpha,Card,Hardship,259,3,Resolved,76,0,4.32,Monday,45,November,Meeting Expectations,,,,,,,,
10,45964,"Monday, November 3, 2025",10,E84687581,Team_Alpha,Card,Promise_to_Pay,243,6,PTP_Made,80,1,4.05,Monday,45,November,Exceeding Expectations,,,,,,,,
11,45964,"Monday, November 3, 2025",14,E84687581,Team_Alpha,Card,Dispute,345,13,Resolved,85,1,5.75,Monday,45,November,Not Meeting Expectations,,,,,,,,
12,45964,"Monday, November 3, 2025",16,E84687581,Team_Alpha,Card,Promise_to_Pay,212,15,Payment_Collected,62,1,3.53,Monday,45,November,Exceeding Expectations,,,,,,,,
13,45964,"Monday, November 3, 2025",9,E84687581,Team_Alpha,Card,Promise_to_Pay,293,10,PTP_Made,78,0,4.88,Monday,45,November,Meeting Expectations,,,,,,,,
14,45964,"Monday, November 3, 2025",11,E84687581,Team_Alpha,Card,Payment_Inquiry,140,21,Info_Provided,77,1,2.33,Monday,45,November,Exceeding Expectations,,,,,,,,
15,45964,"Monday, November 3, 2025",10,E84687581,Team_Alpha,Card,Promise_to_Pay,227,157,PTP_Made,74,1,3.78,Monday,45,November,Exceeding Expectations,,,,,,,,
